,actual_importance,null_importance_0,null_importance_1,null_importance_2,null_importance_3,null_importance_4,null_mean,score_rank
overall_mean_2dc29e21,692.4710558255513,5.614916721979776,0.0,3.5476166407267256,9.143266518910725,20.7509667078654,7.811353317896524,168.0
2010,690.4099658727646,1.5009415944417317,0.0,0.0,3.053424914677938,2.853241602579753,1.4815216223398846,41.0
4035,683.297217965126,0.0,0.0,2.6428167025248213,4.400691747665405,10.315499862035114,3.4718016624450683,77.0
0,677.4923033714294,0.0,0.0,1.3388500213623047,1.8036166826883953,3.284183343251546,1.2853300094604492,38.0
overall_mean_d185d3ea,670.6773726741474,2.6458750565846763,3.363658348719279,6.021616617838542,8.205125013987223,10.950858116149902,6.237426630655925,134.0
count_TREETOPCITY,670.0531482299169,0.0,0.0,2.3935999870300293,2.2259249687194824,2.997716744740804,1.5234483400980632,44.0
accum_std_group,668.3920078873634,3.043049971262614,0.0,6.789283275604248,2.7923000653584795,15.010475158691406,5.527021694183349,122.0
0db6d71d,664.2171006401379,3.136008421579997,1.823041598002116,1.7953166961669922,1.4836750030517578,5.2521999677022295,2.6980483373006185,64.0
overall_mean_30614231,663.416600883007,1.5100666681925456,6.596933364868164,16.55934151013692,5.021500110626221,10.441341559092203,8.025836642583211,183.0
time_Assessment,659.737801472346,5.834616661071777,2.9694999059041343,2.635766665140788,3.7595500151316323,25.262224753697712,8.092331600189208,186.0
overall_mean_38074c54,655.6373309493065,13.550166765848797,0.0,6.247150103251139,1.6748749415079753,1.3540250460306804,4.565243371327719,105.0
time_CRYSTALCAVES,649.5547680656115,4.772766590118408,6.662533283233643,4.888674974441528,0.0,22.224550088246662,7.709704987208047,178.0
3120,644.0800244212151,0.0,2.094124952952067,1.4011082649230957,2.269683361053467,14.053366661071777,3.963656648000081,95.0
mean_num_miss28520915,632.0169921120008,1.476099967956543,1.6271082560221355,1.680508295694987,0.0,14.736875057220459,3.9041183153788253,96.0
overall_mean_4a09ace1,628.6252281268438,2.7334917386372886,2.9570166269938154,6.570366700490316,0.0,4.829683303833008,3.418111673990886,82.0
last_5_sum_num_missca11f653,623.3712460796039,1.5325415929158528,0.0,2.9344749450683594,2.0445666313171387,0.0,1.30231663386027,42.0
time_Activity,614.180994451046,6.955499966939291,1.7705082893371582,2.6981082757314043,9.033824920654297,16.649099985758465,7.421408287684123,185.0
2030,599.7462880412738,1.8529833157857258,4.540349960327148,1.7747832934061687,6.440041700998943,8.509066661198935,4.623444986343384,118.0
overall_sum_c58186bf,596.9579738378525,2.7329584757486978,2.0080083211263022,10.129066626230877,7.057116508483887,14.269916693369549,7.239413324991863,187.0
3110,595.9129171570142,2.4801833629608154,0.0,0.0,0.0,4.415733337402344,1.3791833400726319,47.0
overall_mean_562cec5f,580.9657801985741,2.9686333338419595,3.594366709391276,3.9531667232513428,8.198841571807861,12.71861680348714,6.2867250283559155,162.0
Chow Time_4070,580.3874495426813,0.0,0.0,1.544699986775716,5.076991558074951,3.087349971135457,1.9418083031972249,56.0
mean1_round_Leaf Leader_max,578.8807637294134,0.0,0.0,5.467983404795328,1.5260583559672039,25.75045831998189,6.548900016148885,172.0
3010,570.3517823219299,2.737924893697103,1.6196583112080891,1.339908281962077,0.0,12.091308037439982,3.55775990486145,100.0
3121,569.236107925574,0.0,0.0,0.0,2.0694249471028647,8.725124994913736,2.1589099884033205,62.0
std_same_assess_grp,565.3292033672333,1.4044499397277832,3.397741635640462,4.721533377965292,7.0185000101725254,9.047758261362711,5.117996644973755,135.0
